Legend	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Time	0	0	0	0	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	0	0	0	0	1	1	1	1	1	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4
Sample	0H	0H	0H	0H	12H	12H	12H	12H	12H	24H	24H	24H	24H	24H	48H	48H	48H	48H	48H	6H	6H	6H	6H	6H	96H	96H	96H	96H	96H	0H+U	0H+U	0H+U	0H+U	12H+U	12H+U	12H+U	12H+U	12H+U	24H+U	24H+U	24H+U	24H+U	48H+U	48H+U	48H+U	48H+U	48H+U	6h+U	6h+U	6h+U	6h+U	6h+U	96H+U	96H+U	96H+U	96H+U	96H+U
5-Dehydroquinic acid	0.741133793	0.784106607	0.885557529	0.770588927	0.837269667	0.88396968	0.868619465	0.812802154	0.801947108	0.833603161	0.887796751	0.793614597	0.781550342	0.765634601	0.588018621	0.878967421	0.871079454	0.456968367	0.929852095	1.155066468	1.086795856	1.031839962	1.008047576	0.926235998	0.621246666	0.692515301	0.633789752	0.750525454	0.649350579	0.741133793	0.784106607	0.885557529	0.770588927	0.824127937	0.771169694	0.730687608	0.744857197	0.716003189	0.902154574	0.813767083	0.831289424	0.519426726	0.694946485	0.598198668	0.61989622	0.632866376	0.485946426	0.849066865	0.837358512	0.858184004	0.8732808	0.784860685	0.727751888	0.759433201	0.779553953	0.729552572	0.765273713
Myricetin	0.438080624	0.544643834	0.525070312	0.464434744	0.579786255	0.494990267	0.464271613	0.519494235	0.506844133	0.529876062	0.481530422	0.477045014	0.484152592	0.484939014	0.683287314	0.580754322	0.634543595	0.743569243	0.546907797	0.586912193	0.532548228	0.569025261	0.628690156	0.572526166	0.580191098	0.624435233	0.579587042	0.601929835	0.527106255	0.438080624	0.544643834	0.525070312	0.464434744	0.477271249	0.446640723	0.500186826	0.491347274	0.479833582	0.526101978	0.623733288	0.619784448	0.714940099	0.454306107	0.518030215	0.479064211	0.551488641	0.431965901	0.516457126	0.559566819	0.495917587	0.509146761	0.158955747	0.494498172	0.456249401	0.507668286	0.489192551	0.485860594
Trans-Aconitate	2.040276377	1.893285209	2.096514119	2.058287566	1.468164009	1.750952565	1.789178733	1.541965491	1.497007922	2.259150912		1.976553571	1.797182543		0.348043589		0.965328369	0.504605791	1.893641449	1.912421808	2.011513652	1.781017153	1.631730202	1.609148749	1.776751183	1.552542749	1.605606009	1.680368859	1.707035155	2.040276377	1.893285209	2.096514119	2.058287566	1.646672738	1.467592252	0.332690935	1.414866401	1.388400318	2.026630359	1.760490333	1.810437686	0.387756967	1.772761727		1.377313654	1.57441463	1.649634641	1.949842449	1.951367984	1.937937695		1.668488568	1.502877144	1.96900149	1.600486779	1.572309278	0.313780078
digalacturonic acid2	0.670839191	1.337448245	1.482002727	1.114470774	0.995728703	0.900956269	0.659840065	0.662759786	0.616314263	0.755789707	0.995711699	0.793277951	0.911960333	0.574284987	0.325343385	0.584625799	0.699050116	0.374309942	0.615135716	1	0.966874023	0.830432119	0.912590941	0.588552014	0.712344136	0.63336823		0.6238818	0.57558484	0.670839191	1.337448245	1.482002727	1.114470774	1.431690064	1.291389436	0.450088239	1.66879388	1.554620495	0.738530744	1.134859767	0.927203148	0.368742808	0.807236445	0.95102722	1.016573022	0.85226551	0.801812471	0.801009531	0.77142714	0.816712955	0.797553339	0.644770056	1.02329355	0.834541073	0.921279752	1.116945909	1
Spermine	0.151223185	0.162293264	0.291614849	0.32153438	0.343629687	0.647695639	0.258061226	0.339111786	0.735042182	0.435579195	0.630358136	0.625868567	0.266719979	0.167988457	0.283321039	0.731809105	0.289374437	0.270755674	0.48053644	0.812963086	0.54991441	0.786918564	0.334563166	0.671862419	0.196741904	0.151335826	0.351185259	0.879458507	0.384415097	0.151223185	0.162293264	0.291614849	0.32153438	0.816259738	0.78703737	0.752863969	0.752963571	0.694271315	0.633436955	0.286715898	0.629374635	0.323851869	0.667541904	0.225303242	0.164435714	0.353426248	0.433937318	0.810439748	0.412693435	0.680423723	0.283455409	0.343613742	0.747124308	0.32990089	0.350104766	0.807229067	0.268751337
Palmitic acid2	0.720435061	0.716858103	0.727121166	0.698097823	0.755834324	0.807931438	0.798695907	0.728316784	0.720701117	0.807251379	0.808082584	0.743332204	0.72487556	0.808251154	0.658706126	0.722001491	0.677224423	0.401523928	0.812603202	0.86259547	0.832608684	0.815592307	0.766042034	0.695138598	0.88926306	0.771218674	0.737672304	0.803985648	0.740088188	0.720435061	0.716858103	0.727121166	0.698097823	0.723622572	0.713804742	0.681528634	0.701097679	0.637852801	0.752409838	0.711976447	0.698841034	0.793701456	0.773660139	0.932014381	0.73973159	0.741500212	0.713439173	0.793778368	0.79703955	0.799829566	0.835336481	0.745485614	0.627918487	0.730367231	0.690717792	0.661498578	0.65677779
Palmitic acid	1.074958884	1.544085654	1.198898457	0.434747144	1.414440493	1.020506026	1.067412024	1.23494471	0.952461753	0.450422802	0.943530943	0.848843728	1.604419014	0.843870171	2.060482797	0.800844863	1.650257119	2.013309708	0.890813316	1.401827729	1.129391323	1.041522094	1.500362632	0.992168453	0.545677037	0.787800821	1.435589922	0.977412349	0.996292481	1.074958884	1.544085654	1.198898457	0.434747144	0.809240685	0.822578359	0.71131173	0.837765857	1.015628709	0.894504913	1.079357255	0.806767345	2.219502006	0.895682102	0.987303361	1.59973942	1.4825202	1.007949752	0.90722335	0.81606348	0.995611836	0.516927432	1.552716883	0.949083824	1.023248971	0.933250826	1.135233954	0.843918513
Panose	0.984406912	0.84038243	0.837277823	0.867005608	0.93547195	1.032475164	1	0.929292547	0.870374933	0.86211137	0.93092032	1.04842629	0.881542754	1.127864108	0.358067129	0.605445956	1	0.548171997	1.081730889	1.067823391	1.022665883	1.024106887	0.944543061	0.87441326	0.452552362	0.992778694	0.948150173	0.323135312	0.985164279	0.984406912	0.84038243	0.837277823	0.867005608	1.049249474	0.951046176	0.88463627	0.891708669	0.877571563	0.906888882	0.979306435	0.942992119	0.36605627	1.086578742	1.109025255	0.916689567	0.354739342	0.986030901	1.005119906	1.048449132	1	1.020182029	0.942947979	0.901784798	1.063128141	0.974211042	0.92911858	0.919433244
L-Tyrosine3	2.607251919	1.792561974	1.842651314	2.353573244	0.954394858	1.897186879	2.124022096	1.451910175	1.540721449	2.209740433	1.985342373	1.92752776	1.689494255	2.778785825	0.258943578	1.409699322	1.671904954	0.217906295	1.121541806	1.971512224	0.131117169	1.766992814	1.475870142	1.535094467	0.250725573	1.321946673	1.358094444	1.164885224	2.027481919	2.607251919	1.792561974	1.842651314	2.353573244	1.144751255	1.547717011	1.467496715	1.535842557	1.456717859	2.03764487	1.145062244	1.782356794	0.923235131	1.760007604	0.250960848	1.370071637	1.557105243	1.828507252	1.787474327	2.320362589	1.756811779	2.328411328	1.571492572	1.64226255	2.122926255	1.490058043	1.677259099	1.753255597
isohexonic acid	2.086452061	2.440883856	2.682507522	2.350127305	2.027425225	2.107063028	2.08252663	2.031905585	1.810046933	2.672473244	2.793856641	2.314119171	2.44815262	2.174297545	0.553089229	2.04420837	2.156525887	0.761926224	2.286901327	2.241568885	2.338592394	2.107220904	2.164189255	1.997464687	1.896400712	2.123659393	2.054299335	2.155305202	1.890172483	2.086452061	2.440883856	2.682507522	2.350127305	2.02177659	1.806935453	1.786046442	1.813364744	1.79240178	2.428814603	2.4071431	2.306450866	0.796538665	2.14498824	2.098407697	2.01530851	2.103296242	1.960137928	2.254559528	2.263366199	2.330895981	2.254932756	2.277226809	1.986211138	2.321991688	2.280626128	2.062661559	2.158392648
Indoleacetic acid	2.10214026	0.888456227	0.506666844	2.397480684	0.791562611	2.319122942	2.467099302	0.81379329	2.45699586	0.499667455	0.965061144	2.276692793	0.797114429	0.877846029	1.722623473	2.579351133	3.00902965	4.822162958	0.865461749	2.294880129	0.771242342	2.246859003	0.81701438	0.5968483	1.954061129	0.900776324	1.045558538	0.559758615	2.569523294	2.10214026	0.888456227	0.506666844	2.397480684	0.503715291	0.834206742	2.90445546	0.633918073	2.727214524	2.464900779	0.793857899	0.93278835	2.274218139	0.869077938	1.078553814	0.746446469	0.767989914	0.439249598	2.576085711	2.807470111	2.421129471	2.51707851	2.797915788	0.588973831	0.487367418	1.180857394	2.451762717	2.434692333
Tryptamine	0.406361306	0.370285945	0.42693612	0.421342355	0.541926953	0.375802023	0.419323168	0.4316908	0.429039409	0.352053714	0.489631841	0.58591243	0.143559062	0.364267205	0.641992091	0.950253135	0.4261065	1.14542399	0.441228214	0.751097029	0.451678251	0.451861437	0.521360214	0.425947572	0.437554442	0.576384884	0.453873248	0.596170045	0.417712543	0.406361306	0.370285945	0.42693612	0.421342355	0.47103287	0.508289601	0.129071715	0.432689321	0.442741577	0.649887815	0.38241306	0.408951966	0.696373275	0.139107404	0.503740636	0.392209855	0.508153816	0.386816792	0.611493656	0.466153708	0.49465283	0.42929048		0.375782481	0.374864364	0.224601087	0.161897102	0.155714441
3-Nitro-L-Tyrosine	1.782345585	0.543335158	1.580700333	1.736026968	1.705984764	2.023801171	1.463689568	1.788719392	1.785015017	1.855507106	1.863842474	1.581342475	0.498766678	1.209892745	1.127807621	1.732624742	1.818357894	0.942630846	1.907879889	2.33329528	2.326721162	2.149441444	1.83068757	1.866819598	1.540558453	1.398478982	1.383312235	0.706466221	1.672423511	1.782345585	0.543335158	1.580700333	1.736026968	1.410673633	1.326689102	0.921512816	1	0.799214257	0.566474342	1.555167696	1.614359038	0.742494298	1.584677975	2.191601942	1.261656922	1.359555749	1.557793528	1.700442488	2.094319253	1.802762174	2.114110309	1.608546622	1.053113206	1.83795794	1.474362892	1.573308558	1.48993698
"3-Amino-2,3-dihydrobenzoic acid"	2.013962725	2.235900186	0	2.053778707	2.404982701	0	2.249396901	2.633406391	2.36944229	2.386430752	2.325307959	2.547072079	2.429269823	2.361977634	2.266757538	2.258461383	2.252406218	2.146463695	2.132970681	2.307165606	2.366508428	2.495542601	2.639257775	2.423826818	2.252439603	2.636226758	2.857028272	0	1.711582629	2.013962725	2.235900186	0	2.053778707	2.714435607	1.810575879	2.37664299	1.837298287	2.693592641	2.292820288	2.43966434	2.372760731	2.347297138	2.35198011	2.431249898	2.2499762	2.119666472	2.386406104	2.635388856	2.235632732	2.349619498	0	1.969757719	2.018252315	0	2.016736986	1.934099421	1.934099421
D-Trehalose3	0.109608733	0.336576817	0.319858871	0.213019858	0.369368948	0.351979411	0.259494215	0.239799144	0.342902498	0.17333194	0.288743974	0.224268429	0.31613071	0.228947383	0.132857385	0.416766173	0.294535237	0.129025397	0.228757957	0.194673827	0.201159411	0.264189079	0.28770772	0.240908705	0.290502696	0.174375578	0.189462829	0.236091354	0.196283759	0.109608733	0.336576817	0.319858871	0.213019858	0.164016048	0.098105643	0.212428805	0.18510454	0.16986039	0.245017366	0.209161638	0.194618581	0.182480849	0.289848753	0.288869747	0.342055584	0.198194421	0.19570468	0.302287085	0.241483895	0.305130293	0.23164554	0.35676843	0.155587991	0.176157724	0.249909401	0.196993163	0.192207572
Hypotaurine	0.985334507	0.738382731	0.755645001	0.69754103	0.706272222	0.954172435	0.613682726	0.849007773	0.676563393	0.923038821	0.788561785	0.719637116	0.808768738	0.915212956	0.488765203	0.934481868	0.70995393	6.059598232	0.929865332	1.046359632	0.994700763	0.954628036	0.745621029	0.836690593	1	0.853523996	0.65038239	0.741111258	0.667882158	0.985334507	0.738382731	0.755645001	0.69754103	0.788875519	0.908002225	0.730835111	0.767038284	0.693596318	0.954323882	0.663051	0.681524577	0.478332775	1.002897787	1.129114652	0.877258955	0.905969144	0.769233453	1	1.088648506	0.986772988	0.68592838	0.933921521	0.646537623	0.790513413	0.830600102	0.792485604	0.718759663
