Samples	Label	135765 isomer2	16-Hydroxyhexadecanoic acid	1-monostearin labeled	"2,3-Diaminopropionic acid"	2-Coumaric acid	2'-Deoxyadenosine1	2'-Deoxyadenosine2	2-Methylpropanal	"3-Amino-2,3-dihydrobenzoic acid"	3-Hydroxyphenylacetate	3-Indoleacetonitrile	3-Methyladenine	3-Nitro-L-Tyrosine	4-Coumaric acid	4-Methylumbelliferone	5-Aminolevulinic acid	5-Aminopentanoic acid	5-Dehydroquinic acid	6-deoxyglucose	Acetaminophen glucuronide	Adenosine	adrenaline	alanine-alanine1	alanine-alanine2	Ascorbic acid	Asparagine minor	Azelate	"Benzen-1,3-Dicarboxylic acid"	Benzoate	beta-hydroxymyristic acid	beta-sitosterol	Brucine	Caffeine	cerotinic aci	chenodeoxycholic acid	Chlorogenic acid	cis-Aconitic acid	Cystamine1	Cystamine2	Cysteamine1	Cysteamine2	Cysteinylglycine	cystine minor	Deoxyguanosine	D-Fucose	D-Glutamine	digalacturonic acid1	digalacturonic acid2	DL-Homocystine	D-Maltose	D-Panose	D-Ribose1	D-Ribose2	D-Ribose3	D-Trehalose1	D-Trehalose2	D-Trehalose3	D-Trehalose4	D-Trehalose5	D-Xylulose1	D-Xylulose2	Epinephrine1	Epinephrine2	Galactitol	Galacturnonate	Gallic acid	gamma-Linolenic acid	Gluconolactone	Glutaric acid	Glyceraldehyde-3-phosphate	Glycerol	glycyl tyrosine	Harmaline	Histamine	histidine	Homocystine1	Homocystine2	Homovanillate	Hypotaurine	Indoleacetic acid	isoheptadecanoic acid NIST	isohexonic acid	Isopentenyladenosine	L-Ascorbic acid1	L-Ascorbic acid2	L-Aspartic acid3	L-Aspartic acid4	L-Cysteine1	L-Cysteine2	L-Glutamic acid	L-Glutamine	L-Homocysteine	Linoleic acid	lithocholic acid	L-Leucine	L-Lysine	L-Prolinamide	L-Proline	L-Rhamnose	L-Tyrosine1	L-Tyrosine2	L-Tyrosine3	Malonic acid	Maltose	maltotriose1	Maltotriose2	Maltotriose3	Maltotriose4	Melibiose1	Melibiose2	melibiose minor	Menaquinone	methionine sulfoxide minor	Myricetin	N-Acetylglucosamine	N-Acetylleucine	N-Acetylneuraminic acid	N-acetylornithine	Nonadecanoic acid methyl ester1	Nonadecanoic acid methyl ester2	nonanoic acid	noradrenaline	Octacosanoic acid	octadecylglycerol	O-Phospho-L-serine1	O-Phospho-L-serine2	ornithin	Paeonol	palatinitol	Palmitic acid1	Palmitic acid2	Panose_1_minor	Panose_2	Phosphorylcholine	Phthalic acid	Phytol_mixture of isomers	Pimelic acid	Protocatechuic acid	Psoralen	Purine	Putrescine	Pyridoxamine	Pyrocatechol	Pyrogallol	Quinolinic acid	Rhamnose	"Ribulose 1,5-bisphosphate_1"	serotonin1	Serotonin2	Serotonin3	Shikimic acid	Similar_catechin	Sinapyl aldehyde	sophorose minor	Spermidine1	Spermidine2	Spermidine3	Spermidine4	Spermine	spermine major	Stearic acid1	Stearic acid2	Sucrose	Tartarate	Taurine	tetracosane	tocopherol alpha	tranexamic acid	Trans-Aconitate	Tryptamine1	Tryptamine2	Tryptophan	Tyramine1	Tyramine2	Uridine1	Uridine2	xylose
12H-UKNO3-R2	12H+U	0.310659338	6.035599317	0.692716087	0.513496094	1.333142073	0.403867072	2.051967796	3.500065374	2.325307959	1.50148861	1.672046213	2.919653923	1.326689102	0.606871894	0.340268833	0.301701323	0.320596146	0.771169694	2.325307959	1.291389436	0.644008756	1.039766114	0.735172825	1.632689245	0.552566485	6.035599317	6.02081337	0.819322895	4.625638982	1.561060057	0.20393367	1.060649269	0.734691347	2.919653923	0.794970124	0.987149448	1.026595041	1.333154649	0.160913753	0.868607576	1.326689102	4.832237715	5.843716773	0.433451954	1.389556241	0.070220384	1.038260019	1.291389436	2.971668843	1.582804634	0.725263709	1.086225933	0.464493683	0.848751894	1.278693459	0.597790971	0.098105643	0.331527003	0.961276235	0.678516198	0.933927591	2.051967796	1.529560297	4.056166037	0.679070767	0.676944947	0.713984602	1.131090267	2.747024926	1.261568736	2.172374264	0.782491677	1.191997978	0.95947133	0.356781436	0.518777123	0.797066469	2.407806456	0.908002225	0.834206742	1.793673064	1.806935453	0.179734541	4.512396245	2.046850648	0.738391254	2.804212859	0.728154427	1.273282359	3.500065374	1.198858982	0.336734005	0.785385265	0.748610038	0.52326005	0.308204666	2.309298447	0.609859012	3.344092426	0.513810734	4.927011535	1.547717011	0.328198661	2.687351281	2.804212859	0.105302567	3.526186231	5.843716773	2.804212859	1.72782175	5.942729173	5.368743907	0.463238278	0.446640723	0.552090691	1.487050326	0.096806731	1.179534146	0.643070682	0.658614529	0.920239948	0.369248462	1.453202919	0.790185333	0.240136322	0.64471864	0.306426982	0.764564755	9.987231168	0.822578359	0.713804742	0.951046176	0.685035089	2.819165318	2.747024926	0.159214076	0.565174483	0.881895719	1.044296852	1.47414526	1.188475464	2.59652327	3.214188558	1	0.28044703	0.826427234	9.987231168	0.427386846	1.201816704	3.500065374	0.698849497	0.670745224	0.661409107	0.50313943	0.777095422	1.014677034	1.547717011	5.843716773	0.78703737	0.411399973	1.146911921	0.864381738	1.273282359	1.146911921	1.487050326	0.286334519	1.141127383	0.692455091	1.467592252	0.508289601	1.983341037	1.851886438	2.132952125	3.500065374	0.961721669	1.229809684	0.873069382
12H-UKNO3-R3	12H+U	0.357851202	7.031022927	0.805331403	0.422653978	1.117657517	0.58388821	2.414856102	1.339581516	2.547072079	0.833360851	1.384436819	0	0.921512816	0.465997408	0.375760304	0.349377492	0.350432065	0.730687608	2.547072079	1.598333449	0.830653795	1.131696687	0.783245474	2.018287422	0.560497884	7.031022927	7.020028346	0.77469032	4.473767918	1.666170598	0.430853162	1.157013345	0.801415812	3.027801144	0.83663979	1.280172301	0.631225127	1.439565249	0.459665464	1.041009397	0.629641612	6.629847894	7.33090643	0.595867832	3.057113723	0.411922413	0.975922964	0.450088239	2.891532239	1.592797672	0.752009985	1	0.539012264	1.50546472	1.4051299	0.68304945	0.212428805	0.373055698	1.002072773	0.632446968	0.647712087	2.143570044	1.726403046	5.089958334	0.757943498	1.231090862	0.749378785	1.303277948	3.645145578	1.283447903	2.708148643	1.064999414	1.260768125	1.286698674	0.307559156	0.662872977	0.888718424	1.945505453	0.730835111	2.90445546	1.920535412	1.786046442	0.567390283	6.780714836	2.255704781	2.189806762	0.997032835	1.846049723	1.244391278	3.76759616	1.45617426	0.164686133	0.772149693	0.347380914	0.534411187	0.39049561	2.888283324	0.545822747	3.163679081	0.871122155	5.826547799	1.467496715	0.370006748	2.632036425	2.571923132	0.41437203	4.004683731	7.33090643	2.571923132	1.776612466	9.223623499	6.997935271	0.503600463	0.500186826	0.651450594	1.256498792	0.357851202	1.202224559	0.849001572	0.522995891	0.98722028	0.425929098	1.63293254	0.801166903	0.194037454	0.704955766	0.480775553	0.692728493	12.14367445	0.71131173	0.681528634	0.88463627	0.832420633	3.057113723	3.645145578	0.210039527	0.534088729	0.99489184	0.956064275	6.01987519	0.521426311	2.787210491	3.76759616	1.234495008	0.310303888	2.888283324	12.14367445	0.457326927	1.199006887	3.155525233	0.972440034	0.835457328	0.126955267	0.675811392	0.804266843	0.790472015	1.02708341	7.33090643	0.752863969	0.409651912	1.018862289	0.942731877	1.187615008	1.002434459	4.473767918	0.39049561	1.080131159	0.788808621	0.332690935	0.129071715	2.217740982	2.372232064	3.505051847	3.155525233	0.70160602	1.287942544	1.058669031
12H-UKNO3-R4	12H+U	0.371158569	6.842446472	0.82257115	0.673182195	1.218591176	0.579172207	2.469319928	3.884738341	2.429269823	0.992453243	1.473791035	0.36926839	1	0.559799137	0.401984018	0.33577504	0.347840585	0.744857197	2.429269823	1.66879388	0.851926392	0.286719573	0.796583815	2.447231804	0.420552791	6.85951	6.85951	0.548644553	4.890001926	1.641425538	0.225817278	0	0.796806565	3.031920617	0.783789594	0.583726512	1.191342764	1.389291131	0.48669292	1.036284126	1.513551857	6.642809122	7.356030836	0.595853629	1.071146871	0.388092894	1.188437691	1.66879388	2.92977742	1.608858368	0.738106508	1.004030907	0.528348153	1.471183472	1.487050202	0.703145285	0.18510454	0.400860744	1.040615198	0.655049484	0.653392894	1.801538012	2.16666941	4.643314311	0.738832397	0.901974856	0.73595074	1.301358111	3.402878523	1.322133284	2.859690474	1.037182024	1.27163382	1.223806302	0.359046068	0.692276376	0.873030315	2.114229268	0.767038284	0.633918073	1.865884942	1.813364744	0.541639418	6.606309434	2.274908097	2.189181873	1.17461504	1.824227539	0.848378395	1.334957511	1.489856015	0.389301697	0.774583724	0.760552751	0.550872678	0.136334772	2.917283548	0.931231552	3.040608116	0.968035175	5.80302828	1.535842557	0.310453367	2.558037108	2.578275585	0.389513243	3.414367059	3.909348199	2.578275585	1.770151688	7.121698639	7.137454661	0.494776909	0.491347274	0.617426638	1.25873597	0.28871051	1.151415907	0.789352464	0.501369323	1.046316504	0.42049393	1.722571064	0.796516748	0.197604929	0.754639165	0.424264105	0.766050054	12.07810976	0.837765857	0.701097679	0.891708669	0.818213181	2.882361673	3.402878523	0.303065417	0.22496596	0.995970244	1.025087613	5.911957639	0.487908784	2.722648596	3.53593634	1.222253922	0.34336072	0.922997548	12.07810976	0.411203815	1.307926599	0	0.897100932	0.83032967	0.969113406	0.620933656	2.378452625	0.792764821	1.002011796	7.356030836	0.752963571	0.394336659	0.977294286	0.94808957	1.201152605	0.977294286	4.890001926	0.404515738	1.092579881	0.781932083	1.414866401	0.432689321	2.222106828	2.2488174	3.374984822	3.077692357	0	1.33428261	1.06740492
12H-UKNO3-R5	12H+U	0.340432764	6.827975153	0.790173087	0.448800622	1.248832116	0.54261194	2.379539451	3.49968241	2.361977634	1.004125915	1.482569231	2.930637388	0.799214257	0.520822874	0.317197898	0.333868676	0.335737738	0.716003189	2.361977634	1.554620495	0.779476298	0.77961282	0.768116802	1.974604974	0.402148265	6.827975153	6.827975153	0.600698304	4.582652198	1.610504699	0.401922876	0	0.752782072	2.930637388	0.767616296	1.254494158	1.157954903	1.411160459	0.496543416	1.017364228	0.974428769	6.500205448	7.112373196	0.598921558	3.075624395	0.519463488	1.231597779	1.554620495	2.75350255	1.565842373	0.695914621	0.978433532	0.513584189	1.446254047	1.449751384	0.736823299	0.16986039	0.374063526	1.003663383	0.625479566	0.693596318	2.065307715	2.059506258	4.3734946	0.677556537	0.969371661	0.716208183	1.192655127	2.185456422	1.313475702	2.74042158	0.985359502	1.249546414	1.249315784	0.303990327	0.695197578	0.825240265	2.02999637	0.693596318	2.727214524	1.905956914	1.79240178	0.190234975	6.500205448	2.250657208	2.105034874	2.447320475	1.80042186	0.465038591	3.742371232	1.372105566	0.194229147	0.758933608	0.697609637	0.523033639	0.372255134	2.88392603	0.704090346	2.964717621	0.839711928	5.691178789	1.456717859	0.296480353	0.224659187	2.447320475	0.388616709	1.204641958	4.022216148	2.447320475	1.818114535	8.639232564	6.806737146	0.511281147	0.479833582	0.585402037	1.302872844	0.333124094	1.156548633	0.81856134	0.474472573	1.04638114	0.403367311	1.461926016	0.773997125	0.243248875	0.763934618	0.502980484	0.429272145	11.83636783	1.015628709	0.637852801	0.877571563	0.797348096	3.088612828	3.450643619	0.324964876	0.299156527	0.975343755	1	1.993411867	0.398341012	2.710523687	3.49968241	1.130522804	0.303829568	0.948665057	11.83636783	0.410892753	1.17981285	3.054611788	0.903776823	0.755545573	0.975104529	0.611150839	0.713678892	0.748936604	1.013512137	7.112373196	0.694271315	0.390659537	1.011682363	0.949184647	1.145320776	0.993353939	4.582652198	0.368303159	1.070798133	0.385910225	1.388400318	0.442741577	2.169845486	2.221039856	2.641611192	3.054611788	0.984055238	1.450149289	0.894159808
24H-KNO3-R1	24H	0.377082243	6.142620165	0.529182621	0.581244268	2.644920011	0.746350039	2.311360888	2.765548521	2.266757538	1.568048559	2.243782063	3.079889206	1.855507106	0.617205466	0.580312541	0.325894457	0.385151326	0.833603161	2.190967459	0.522052367	0.704810415	1.139907758	0.121313237	1.734667621	0	6.142620165	6.132279034	0.864171934	5.005720882	1.708380724	0.395567861	0.874431547	0.945708481	0.859078381	0.702494483	0.979026771	0.610347938	1.359170607	0.389044504	0.951784936	1.903293486	5.792706453	6.240837423	0.466478035	4.500422546	0.260613333	1.282471137	0.755789707	3.746501655	1.653232759	0.674636947	1.155615012	0.500169597	0.905995207	1.374014039	0.552470462	0.17333194	0.338929592	1	0.786372892	0.941239795	2.112450111	2.124025411	3.423421818	0.791758297	0.915619684	0.774216143	1.227053206	2.061779317	1.140878124	2.64120262	0.643546304	1.299541691	1.012387825	0.499776074	0.549454052	0.905566633	3.141610659	0.923038821	0.499667455	1.924561096	2.672473244	0.587115941	5.447501663	2.115355823	2.487217155	2.905994953	1.955607746	1.529159054	2.765548521	1.277711871	0.380117497	0.843233155	0.729590066	0.551603228	0.11769753	2.487217155	0.455344029	2.193669024	0.782004092	5.156585547	2.209740433	0.660954386	4.402128451	2.905994953	0.113046051	0.949247496	4.053654305	2.905994953	4.077222592	6.599840802	5.180886498	0.566554388	0.529876062	0.592268391	1.414077415	0.373749117	1.232988803	0.219031024	0.618472563	0.899791758	0.392768805	1.712818096	1.162131153	0.136308136	1.089570117	0.329886934	1.513973922	11.50553784	0.450422802	0.807251379	0.86211137	0.755328438	4.500422546	3.641848715	0.308012559	0.77144171	0.17282611	1.589011648	5.575724963	1.359694254	3.269230085	1.538040548	0.80255118	0.251001917	0.924333161	11.50553784	0.43225921	1.074970538	3.641848715	0.786447635	0.582294897	0.701778253	0.659564631	0.98403238	1.252355067	1.371922457	6.240837423	0.435579195	0.440536034	1.076902432	0.882910863	1.529159054	1.076902432	0.65694094	0.231107941	1.213480597	0.749969478	2.259150912	0.352053714	2.782422328	1.699436158	1.768523306	3.641848715	1.111955523	1.341477359	0.958204835
24H-KNO3-R2	24H	0.352177018	6.609848011	0.567182517	0.631796039	2.102577223	0.848261856	2.111524468	3.240959547	2.258461383	1.472467513	2.062896445	3.147530075	1.863842474	0.331127591	0.352598204	0.319276427	0.364844877	0.887796751	2.25586246	0.995711699	0.701801576	1.169730685	0.249024914	1.758950126	0	6.609848011	6.594659887	0.744149391	5.001690958	1.654429582	0.446221686	0.596075474	0.752181614	3.147530075	0.866568032	0.999158625	0.154036032	1.366303131	0.438938897	0.957601821	1.775904907	5.145702925	6.41633777	0.489148539	4.27004082	0.073285358	1.129688947	0.995711699	3.048198041	1.812913526	0.713679962	1.160738445	0.521560229	0.988635609	1.33993529	0.680022259	0.288743974	0.363823223	1	0.804127665	0.753298622	1.908502292	2.090527805	3.844076443	0.772236858	0.705335366	0.780786273	1.211996782	2.881014871	1.501674793	2.399973341	0.993145561	1.284870921	0.944210608	0.473517085	0.611818774	0.814898686	2.926553421	0.788561785	0.965061144	1.944183468	2.793856641	0.644762183	4.624659744	2.028086315	2.226870361	2.406850093	1.472955178	1.415156633	3.244736893	1.267465998	0.464854784	0.397493893	0.785426858	0.580409326	0.136893676	2.520277439	0.41767846	3.159513173	0	2.46486868	1.985342373	0.336609836	4.23341774	2.406850093	0.135799888	1.267561354	3.67550209	2.406850093	2.050374762	0	5.329113805	0.501945603	0.481530422	0.499197782	1.523944757	0.121322297	1.266230103	0.215665407	0.640638554	0.867352672	0.404359332	1.780093377	1.021928052	0.393637802	1.079515772	0.411161588	1.45260479	11.67870783	0.943530943	0.808082584	0.93092032	0.710370202	4.27004082	2.881014871	0.292949757	0.785453687	0.952962093	1.396156539	4.797646756	1.18290154	3.139490372	3.240959547	0.84508135	0.223895182	1.085098056	11.67870783	0.366667145	1.275882042	3.564360483	0.324574647	0.589742625	0.680086849	0.557313689	2.711739135	1.654429582	1.438597884	6.41633777	0.630358136	0.424124579	1.212659487	0.872284076	1.393588886	0.469227958	0.684165778	0.215158767	1.176796933	0.741323145	0	0.489631841	2.869804584	1.763219439	2.191603377	3.543393171	1.070939263	1.465121899	0.940323189
24H-KNO3-R3	24H	0.319203493	5.954353221	0.496831272	0.724603665	1.442189293	0.500589524	2.180583763	2.701215705	2.252406218	1.360637639	1.520959012	2.858326159	1.581342475	0.536018687	0.293018126	0.286563493	0.146732386	0.793614597	2.252406218	0.434175228	0.696868493	1.113457051	0.731831273	1.769693396	1.749581502	5.945558004	5.954353221	0.707121574	4.444685799	1.520959012	0.356888536	1.00574109	0.651589207	2.858326159	0.788944679	0.334791369	1	1.377164891	0.453361913	0.874092667	1.581342475	5.822655765	6.006587057	0.42081012	0.953850301	0.2608844	1.137145792	0.793277951	2.699792514	1.520959012	0.655851222	1.063821839	0.482449941	0.855005632	1.286827177	0.666531693	0.224268429	0.342369505	0.940550576	0.734143045	0.889846444	1.581342475	1.802231789	3.177145501	0.599439496	0.207852472	0.706564848	1.155152198	2.568173317	1.411038065	2.531457286	0.534258526	1.156986397	0.773013566	0.431025284	0.669564496	0.744255977	2.286660927	0.719637116	2.276692793	1.833635856	2.314119171	0.546645233	4.229543091	2.233841586	2.103690079	2.327607264	1.339306941	1.275576689	1.193672823	1.145940504	0.484684913	0.371645006	0.67412509	0.500444601	0.138349701	2.45636941	0.499851278	2.110702431	0.71234132	4.922181466	1.92752776	0.377662009	3.910135183	2.327607264	0.105563285	1.264378064	3.237677064	2.325689959	2.075161947	6.302459241	5.099894935	0.461993361	0.477045014	0.47273809	1.75633671	0.315583841	1.130297121	0.587590323	0.565589445	0.799596949	0.376193725	1.597773184	0.966671976	0.352251428	0.903031007	0.519307138	0.937029764	10.6045185	0.848843728	0.743332204	1.04842629	0.686479841	3.970300532	2.568173317	0.263658874	0.720086962	0.856354405	1.319068782	4.449933367	1.759694915	2.975419127	1.169098861	0.845174193	0.334126953	1.383886011	10.6045185	0.370874684	1.019054842	2.280690506	0.690245958	0.5824596	0.706355225	0.533652846	0.874166152	1.448374936	1.302355941	6.006587057	0.625868567	0.400564329	1.039617045	0.833199561	1.275576689	1.012380422	1.75633671	0.250482038	0.554036026	0.508174896	1.976553571	0.58591243	2.60233682	0.661069246	1.678955654	2.280690506	0.956346012	1.746184248	0.951826761
24H-KNO3-R4	24H	0.41075383	7.767652134	0.566056957	0.569772136	1.468396112	0.887487147	1.954890966	3.418066786	2.146463695	0.776466002	1.052719029	2.929990579	0.498766678	0.541936496	0.297549153	0.281352704	0.551327131	0.781550342	2.142568108	0.911960333	0.901732448	0.974862897	0.876356757	1.165768005	1.047810932	7.767652134	7.725857655	0.49852004	3.512065608	1.034202508	0.388818247	0.770925945	0.781692657	2.925810844	0.586300663	1.293963898	1.187991787	1.649044904	0.589299924	0.967875033	1.586052027	5.312745442	6.440255085	0.509449102	1.123100232	0.066250522	1.019314173	0.911960333	2.439151978	0	0.686281147	1	0.551582107	1.255420677	0.914084776	0.603635449	0.31613071	0.433513412	1.053499437	0.695852536	0.814764748	1.553480244	1.657465036	3.478335963	0.595491586	0.820469598	0.506493363	1.140623076	2.457087563	1.684662161	2.402467428	0.925905358	1.254168698	1.454539156	0.301121095	0.659240357	0.813615067	1.931164217	0.808768738	0.797114429	1.681743479	2.44815262	0.542232859	5.894214432	3.487198003	2.044482109	2.065691943	1.03689629	0.796485073	1.197832953	1.50124457	0.484152592	0.335829788	0.823346826	0.545345323	0.323349226	2.726244001	0.617696343	2.417888052	0.740195448	5.412421513	1.689494255	0.325431367	3.895667073	2.06148482	0.108117579	3.78638465	2.679653347	2.065691943	1.911754218	8.367449609	5.783868892	0.199566714	0.484152592	0.614984924	1.245030107	0.41075383	0.795137433	0.269267585	1.996203647	1.300005483	0.40290812	1.856236295	0.979177156	0.30326122	1.056342953	0.444464251	0.745234593	11.55433367	1.604419014	0.72487556	0.881542754	0.82872254	4.150191659	1.202975862	0.515413561	1.026578358	0.990620732	1.08945845	1.560497151	1.047650012	2.983274775	3.418066786	1.146140591	0.62462546	0.889732192	11.55433367	0.350880688	1.17090926	3.823508436	0.369686132	0.821050432	0.204201934	0.592728062	0.747457413	1.701531924	1.152154639	6.440255085	0.266719979	0.445322241	0.928725057	1.90189964	1.149980898	0.899763457	3.512065608	0.365502232	0.636109995	0.902617971	1.797182543	0.143559062	2.902605888	1.071538448	2.288508662	3.823508436	1.926348326	0.548148874	0.974001568
24h-KNO3-R5	24H	0.368018545	0	0.558934338	0.467740077	2.842478906	0.976739404	0.132675228	1.439028146	2.132970681	0.687035898	2.250177193	3.031313581	1.209892745	0.726713995	0.765418107	0.379292493	0.197920608	0.765634601	2.132970681	0.808228413	0.736479504	1.654450633	0.823954093	1.757340617	0.431286224	6.315915394	6.285738559	1.273016211	6.006701749	1.586005263	0.139619638	0	0.811789203	3.031313581	0.176775033	1.01731914	1.07171696	2.786521906	0.747608508	0.842014321	1.89052713	6.345806589	6.384249039	0.096233253	4.226070418	0.058354256	2.500499182	0.574284987	4.418423889	0	0.683531089	1.119569335	0.524700922	0.868060903	1.343882849	0.585028009	0.228947383	0.332006719	0.991079642	0.763683991	1.053408055	1.697109771	3.300124298	3.752344836	0.399310757	0.555172283	0.774901145	1.147657345	3.564405836	1.385795169	0.890454795	1	1.364358352	1.012270528	0.708170314	0.558124049	1.109588848	2.622798159	0.915212956	0.877846029	1.347026762	2.174297545	0.700202625	6.345806589	2.660566142	1.014478474	2.158985082	0.280513108	1.287212991	1.429026237	1.325331104	0.449628809	0.47307319	0.808436519	0.551836557	0.094079301	1.47558182	0.772654676	2.821566585	0.740370403	5.057832755	2.778785825	0.958920976	4.311535028	2.158985082	0.170123105	1.292870187	2.871830273	2.158985082	6.742898797	4.520377163	5.75381094	0.487370346	0.484939014	0.480021593	1.923469752	0.368804747	0	0.14945347	0.624256167	0.85624085	0.337742966	1.636754617	1.116206965	0.362634444	0.989295918	0.466035172	1.705388486	11.23904292	0.843870171	0.808251154	1.127864108	0.705182135	4.226070418	0	0.222723745	0.158661228	0.912820979	1.650062149	4.868165212	1.6803056	3.107604843	1.439028146	0.701386017	0.35023297	1.21299885	11.23904292	0.25436813	1.418151424	4.043923259	0.535596377	0.446386664	0	0.476718498	2.519515115	1.034611852	2.778785825	6.384249039	0.167988457	0.428574059	1.060423012	0.920537935	1.430553684	1.060423012	1.926702481	0.183730406	1.157369826	0.769870085	0	0.364267205	2.736246693	1.092182069	1.977014181	4.043923259	0.3216057	1.413962702	0.77385847
24H-UKNO3-R2	24H+U	0.356057554	6.526752409	0.549269047	0.55405215	1.608537582	0.497836782	2.222951014	2.682769821	2.307165606	0.866391531	1.972598846	2.994351956	0.566474342	0.617743259	0.330505282	0.300132443	0.32803053	0.902154574	2.307165606	0.526567992	0.680812289	1.160098622	0.745662116	1.854635083	1.241563056	6.502638572	6.529420747	0.587368859	4.87204362	1.595243275	0.453878032	0.720692979	0	2.994351956	0.805183123	1.154197719	1.033169762	1.394210873	0.391329035	0.927739056	1.659636081	5.925903117	6.068178796	0.444070793	0.975057778	0.258577061	1.150267114	0.738530744	3.039330164	1.723223816	0.686745429	0.919608435	0.468035289	0.903883337	1.372368633	0.660541177	0.245017366	0.354432394	1.011438901	0.699036374	0.954323882	1.942931198	1.954906423	3.061328494	0.691459122	0.26976095	0.73583962	1.173420154	2.726298577	1.408591037	0.671625607	0.934794124	1.246315202	0.95791628	0.408869841	0.620398836	0.798278497	2.582706534	0.954323882	2.464900779	1.877493802	2.428814603	0.579985934	4.723864463	2.183121374	2.334609307	2.723235318	1.501862665	1.311891056	2.681188931	1.232994112	0.458572537	0.815135482	0.404024521	0.528299327	0.262047382	2.539364327	0.527954212	1.945938836	0.749094847	5.195075648	2.03764487	0.303262356	2.199696683	2.723235318	0.310864497	1.195790201	6.068178796	2.723235318	0.916344985	6.880907597	5.647495707	0.477144073	0.526101978	0.493617361	1.651337762	0.124794903	1.184940705	0.559319101	0.543160911	0.813187702	0.384052224	1.651337762	1.032723851	0.359879666	1.065950482	0.430185804	1.037991433	10.97965036	0.894504913	0.752409838	0.906888882	0.689954552	2.477932974	2.726298577	0.29766746	0.410299533	0.888515007	1.419712915	4.744160586	1.241563056	3.061328494	2.681188931	0.892306787	0.319598501	1.159548563	10.97965036	0.367858833	1.009621459	2.898749405	0.74649153	0.616324897	0.717125785	0.253935763	2.45361961	1.438475166	2.048541574	6.068178796	0.633436955	0.412621558	1.031649163	0.852615123	1.427818439	1	4.87204362	0.275776379	1.132092226	0.657479044	2.026630359	0.649887815	2.546398613	0.708267892	1.590762231	2.898749405	0	1.558663127	0.941229974
24H-UKNO3-R3	24H+U	0.397940598	7.891001481	0.517245097	0.697030039	1.147265287	0.443984189	1.183452458	4.110455745	2.366508428	0.992777871	1.242985368	2.840498887	1.555167696	0.365291925	0.366631966	0.231538242	0.57262611	0.813767083	2.366508428	1.134859767	0.878538324	0.673589973	0.773121829	1.646055274	0.392627048	7.891001481	7.891001481	0.471530172	2.847653826	0.998291322	0.40301819	0.875119272	1.300395689	2.840498887	0.661391363	1.464790454	1.144461922	1.415456852	0.476472342	0.97233805	0.585114928	6.493067859	6.60108043	0.503089761	2.397113221	0.305945487	1.242388734	1.134859767	2.478267287	1.570558623	0.666373079	0.810403745	0.503450715	1.215124457	1.507010778	0.706068974	0.209161638	0.410980139	0.841676447	0.635983615	0.694959181	1.622558028	1.705301167	3.48445896	0.739568225	0.814667279	0.493997164	1.173861387	2.130108466	1.510786095	2.903641649	0.541199893	1.228833913	1.483433895	0.310945721	0.651781819	0.808556607	1.58716514	0.663051	0.793857899	1.675495631	2.4071431	0.454625756	5.85043638	2.175886456	2.284469171	2.423676194	0.985796035	0.738589587	4.075912467	1.372545622	0.438387032	0.306524256	0.751808535	0.533014427	0.349072211	2.801715893	0.512836824	3.007429906	0.80558027	5.412689101	1.145062244	0.305656034	1.974452886	2.423676194	0.383404537	3.391430022	3.509698112	2.413783528	1.864527969	8.47018042	6.314311174	0.525153215	0.623733288	0.632450213	1.477182869	0.397940598	0.769482196	0.833748061	1.974452886	1.339529221	0.385611495	1.593038004	1.020149888	0.168004447	1.095947042	0.38670637	0.642119372	11.71775716	1.079357255	0.711976447	0.979306435	0.827111663	2.400465831	3.157639368	0.544543751	0	0.963567954	1.072976308	5.9173043	1.149554363	3.24057445	4.110455745	1.167559735	0.609042429	0.942035437	11.71775716	0.443646882	0.969930036	3.619018991	0.865869208	0.822626986	0.988059661	0.729609908	0.903868819	1.559415698	1.638647039	6.60108043	0.286715898	0.455123171	0.855269105	1.864527969	1.111624441	0.828300923	2.542547107	0.31281761	0.683990082	0.729202563	1.760490333	0.38241306	2.712913374	2.400465831	2.3279933	3.619018991	1	1.602939002	0.943747505
