	Label	135765 isomer2	16-Hydroxyhexadecanoic acid	1-monostearin labeled	"2,3-Diaminopropionic acid"	2-Coumaric acid	2'-Deoxyadenosine1	2'-Deoxyadenosine2	2-Methylpropanal	"3-Amino-2,3-dihydrobenzoic acid"	3-Hydroxyphenylacetate	3-Indoleacetonitrile	3-Methyladenine	3-Nitro-L-Tyrosine	4-Coumaric acid	4-Methylumbelliferone	5-Aminolevulinic acid	5-Aminopentanoic acid	5-Dehydroquinic acid	6-deoxyglucose	Acetaminophen glucuronide	Adenosine	adrenaline	alanine-alanine1	alanine-alanine2	Ascorbic acid	Asparagine minor	Azelate	"Benzen-1,3-Dicarboxylic acid"	Benzoate	beta-hydroxymyristic acid	beta-sitosterol	Brucine	Caffeine	cerotinic aci	chenodeoxycholic acid	Chlorogenic acid	cis-Aconitic acid	Cystamine1	Cystamine2	Cysteamine1	Cysteamine2	Cysteinylglycine	cystine minor	Deoxyguanosine	D-Fucose	D-Glutamine	digalacturonic acid1	digalacturonic acid2	DL-Homocystine	D-Maltose	D-Panose	D-Ribose1	D-Ribose2	D-Ribose3	D-Trehalose1	D-Trehalose2	D-Trehalose3	D-Trehalose4	D-Trehalose5	D-Xylulose1	D-Xylulose2	Epinephrine1	Epinephrine2	Galactitol	Galacturnonate	Gallic acid	gamma-Linolenic acid	Gluconolactone	Glutaric acid	Glyceraldehyde-3-phosphate	Glycerol	glycyl tyrosine	Harmaline	Histamine	histidine	Homocystine1	Homocystine2	Homovanillate	Hypotaurine	Indoleacetic acid	isoheptadecanoic acid NIST	isohexonic acid	Isopentenyladenosine	L-Ascorbic acid1	L-Ascorbic acid2	L-Aspartic acid3	L-Aspartic acid4	L-Cysteine1	L-Cysteine2	L-Glutamic acid	L-Glutamine	L-Homocysteine	Linoleic acid	lithocholic acid	L-Leucine	L-Lysine	L-Prolinamide	L-Proline	L-Rhamnose	L-Tyrosine1	L-Tyrosine2	L-Tyrosine3	Malonic acid	Maltose	maltotriose1	Maltotriose2	Maltotriose3	Maltotriose4	Melibiose1	Melibiose2	melibiose minor	Menaquinone	methionine sulfoxide minor	Myricetin	N-Acetylglucosamine	N-Acetylleucine	N-Acetylneuraminic acid	N-acetylornithine	Nonadecanoic acid methyl ester1	Nonadecanoic acid methyl ester2	nonanoic acid	noradrenaline	Octacosanoic acid	octadecylglycerol	O-Phospho-L-serine1	O-Phospho-L-serine2	ornithin	Paeonol	palatinitol	Palmitic acid1	Palmitic acid2	Panose_1_minor	Panose_2	Phosphorylcholine	Phthalic acid	Phytol_mixture of isomers	Pimelic acid	Protocatechuic acid	Psoralen	Purine	Putrescine	Pyridoxamine	Pyrocatechol	Pyrogallol	Quinolinic acid	Rhamnose	"Ribulose 1,5-bisphosphate_1"	serotonin1	Serotonin2	Serotonin3	Shikimic acid	Similar_catechin	Sinapyl aldehyde	sophorose minor	Spermidine1	Spermidine2	Spermidine3	Spermidine4	Spermine	spermine major	Stearic acid1	Stearic acid2	Sucrose	Tartarate	Taurine	tetracosane	tocopherol alpha	tranexamic acid	Trans-Aconitate	Tryptamine1	Tryptamine2	Tryptophan	Tyramine1	Tyramine2	Uridine1	Uridine2	xylose
12H-UKNO3-R2	12H+U	92998.6	6.82E+08	1031072	419985.8	7349410	204333	2.68E+07	1.33E+08	3.90E+07	1.05E+07	1.45E+07	7.72E+07	7243203	693288.9	122205.2	85183.37	102211.1	1422568	3.90E+07	6680283	828511.4	3486825	1232513	1.35E+07	523331.4	6.82E+08	6.77E+08	1706037	3.07E+08	1.18E+07	26308.13	3701166	1230093	7.72E+07	1558388	2983815	3355990	7349618	12924.17	2032797	7243203	3.50E+08	6.19E+08	252607.4	8322457	1074.021	3471695	6680283	8.14E+07	1.23E+07	1183344	3975426	310858.4	1896555	6485187	662630.2	2928.904	113026.4	2755293	968955.5	2526753	2.68E+07	1.11E+07	2.07E+08	971333.3	962239.6	1128989	4488642	6.43E+07	6228105	3.18E+07	1486149	5253512	2739802	140873.7	433077.5	1570749	4.33E+07	2322116	1800712	1.79E+07	1.83E+07	18010.17	2.85E+08	2.66E+07	1248771	6.84E+07	1197550	6403204	1.33E+08	5344751	118436.1	1502697	1301338	444401.9	90811.49	3.82E+07	703576.8	1.16E+08	420758.3	3.71E+08	1.15E+07	109656.3	6.02E+07	6.84E+07	3621.93	1.36E+08	6.19E+08	6.84E+07	1.60E+07	6.51E+08	4.80E+08	308344.7	276374.6	521980.7	1.02E+07	2814.102	5090433	824896.2	886170.1	2417277	156163.4	9519233	1530418	42953.32	831254.2	89249.17	1386328	3.09E+09	1726454	1128136	2668259	997152.6	6.95E+07	6.43E+07	12518.94	559977.8	2127526	3532605	9936742	5207075	5.43E+07	1.03E+08	3101867	68418.84	1750802	3.09E+09	242151.2	5384407	1.33E+08	1058703	936043.3	897498.4	395082.9	1455614	3240460	1.15E+07	6.19E+08	1512200	215981.2	4679650	2003272	6403204	4679650	1.02E+07	72818.93	4609200	1029907	9804815	407339.8	2.42E+07	1.97E+07	3.01E+07	1.33E+08	2759125	5769483	2064284
12H-UKNO3-R3	12H+U	56296.29	4.27E+08	641647.1	92752.84	1715136	244546.5	1.73E+07	2953111	2.03E+07	711003.3	3259806	0	961338.8	124314.8	65178.6	52391.05	52866.9	479256	2.03E+07	5016196	704097	1780584	590290.8	1.01E+07	216318.8	4.27E+08	4.25E+08	571158.6	1.10E+08	5682386	98256.25	1902775	632333.3	3.41E+07	719428.9	2577375	308976.3	3664936	119315.8	1385914	306656.8	3.58E+08	4.84E+08	259909.5	3.51E+07	85865.48	1141876	112012.2	2.97E+07	4964256	522448.1	1228492	192383.7	4191641	3408174	391497.3	11776.4	63781.3	1236147	310774	333824.6	1.21E+07	6321191	1.62E+08	534912.6	2292148	516983.3	2719465	5.95E+07	2597210	2.44E+07	1483954	2461943	2616995	35740.31	357818.9	862312.9	9046273	479546.3	3.01E+07	8702405	6999235	224397.5	3.83E+08	1.41E+07	1.29E+07	1217589	7728630	2367245	6.57E+07	3793258	5487.107	565557.6	51497.98	187499	73151.09	2.96E+07	199768.6	3.89E+07	812100	2.43E+08	3882431	62230.21	2.24E+07	2.09E+07	87406.48	7.89E+07	4.84E+08	2.09E+07	6888909	9.64E+08	4.21E+08	156902.8	153733.7	339638.4	2437017	56296.29	2134662	751792.2	175738.6	1181992	94925.8	5349055	631744.3	8974.888	430385.8	136521	408377.2	2.20E+09	442132.3	388888.1	850484.8	708599.5	3.51E+07	5.95E+07	11383.49	187159.8	1209762	1073578	2.68E+08	174161.1	2.66E+07	6.57E+07	2311215	36705.74	2.96E+07	2.20E+09	117504	2117568	3.86E+07	1129694	716382.8	2513.764	379183	639105.9	606780.8	1331035	4.84E+08	524230	84453.43	1299328	1029288	2057782	1237486	1.10E+08	73151.09	1548110	602958.3	45237.15	2641.591	1.34E+07	1.64E+07	5.29E+07	3.86E+07	424279.7	2624592	1457649
12H-UKNO3-R4	12H+U	63841.67	4.00E+08	694938.2	380911.1	2259435	242576.6	1.88E+07	7.32E+07	1.79E+07	1220551	3996994	62871.26	1248607	219039.5	81105.84	47268.41	52549.25	515994.2	1.79E+07	5802750	772026.1	29430.51	631132	1.83E+07	92872.54	4.03E+08	4.03E+08	206204.9	1.46E+08	5521910	14377.96	0	631661.6	3.48E+07	601207.3	248344.2	2111232	3348155	143943.1	1389512	4329300	3.66E+08	4.97E+08	264146.3	1534521	72984.87	2095825	5802750	3.14E+07	5199711	502091.5	1263767	184156.2	3975816	4105846	434071.2	7919.121	80427.83	1407007	350952.3	348296.4	7300558	1.27E+07	1.25E+08	503574.3	916239.6	497705	2751796	4.92E+07	2885702	2.92E+07	1393127	2567509	2288568	57793.14	414251.7	830833	1.18E+07	563477.9	318071.8	8111111	7445284	198406.8	3.60E+08	1.47E+07	1.31E+07	2023543	7579888	762420.5	2970490	4129131	73668.98	580271	549305.3	208727.4	3164.067	3.10E+07	1008321	3.51E+07	1132659	2.44E+08	4523409	37360.69	2.09E+07	2.14E+07	73789.14	4.97E+07	7.46E+07	2.14E+07	6925597	4.51E+08	4.54E+08	151235.6	148112.4	293888	2490174	30047.86	1905998	614099.4	157361.7	1430260	92833.55	6382006	630972.6	9634.276	536591.5	95353.06	561302.8	2.20E+09	734165.1	430290.1	885308.7	683951.3	2.99E+07	4.92E+07	34756.41	14215.96	1233573	1344958	2.58E+08	145024.6	2.52E+07	5.52E+07	2279870	50544.93	981809.9	2.20E+09	86815.48	2793675	0	901466.7	714788.3	1136448	298924.4	1.68E+07	622098.1	1256158	4.97E+08	533025.1	76564.46	1165472	1064079	2163816	1165472	1.46E+08	82647.94	1628491	596943	3536487	101147.3	1.37E+07	1.42E+07	4.80E+07	3.64E+07	0	2965987	1518495
12H-UKNO3-R5	12H+U	53295.03	4.30E+08	666437.4	122110.5	2630903	215804.6	1.82E+07	5.79E+07	1.78E+07	1367594	4401874	3.40E+07	689576.3	190837.1	43110.55	50271.25	51120.27	495835.4	1.78E+07	5075348	639736.9	640073.1	612173.4	1.04E+07	87851.92	4.30E+08	4.30E+08	292793.8	1.30E+08	5642592	87704.29	0	576236.1	3.40E+07	610977.5	2666850	2097334	3795962	165372.9	1422401	1249807	3.71E+08	4.86E+08	290203.4	3.93E+07	189346.7	2523477	5075348	2.82E+07	5186051	455261.1	1265280	182990.1	4086264	4115980	540359.4	6620.168	70701.52	1365705	330546.1	450726.4	1.19E+07	1.18E+07	1.13E+08	420174.1	1230449	496261.4	2291592	1.41E+07	3060968	2.78E+07	1292340	2635420	2633961	37946.52	453855.3	759161	1.13E+07	450726.4	2.74E+07	9352590	7778552	9299.589	3.71E+08	1.54E+07	1.26E+07	1.98E+07	7883435	135850	7.08E+07	3489436	9897.736	590478.4	458595.8	193277.6	69681.06	3.24E+07	471495.8	3.52E+07	799804.1	2.49E+08	4175601	35203.06	15316.7	1.98E+07	79278.8	2361384	8.79E+07	1.98E+07	8118137	8.71E+08	4.26E+08	180539.4	149232.9	270991.3	2987437	49935.66	2089702	740877.4	144286.6	1547613	88653.27	4220548	626340.8	19442.19	602228.4	171888.2	106854	2.24E+09	1415134	350553.3	912935.9	684757.1	3.98E+07	5.55E+07	46355.57	36164.97	1253331	1350805	1.07E+07	85380.31	2.69E+07	5.79E+07	1951779	37886.35	1153271	2.24E+09	93708.31	2218360	3.85E+07	997186.2	582605.6	1252409	308345.7	491022.3	567450.3	1406305	4.86E+08	452043.6	80535.61	1398702	1155167	2029430	1324051	1.30E+08	67485.27	1658500	77633.92	3615237	117231.3	1.38E+07	1.48E+07	2.49E+07	3.85E+07	1287215	4119370	965690.8
24H-KNO3-R1	24H	137646.2	5.95E+08	380428.2	504117.8	4.75E+07	1067293	3.17E+07	5.43E+07	2.99E+07	9897705	2.90E+07	7.50E+07	1.64E+07	603594.5	501697.4	88856.03	146673	1487079	2.70E+07	365256.7	898820.4	3802464	4583.324	1.34E+07	0	5.95E+08	5.92E+08	1656748	3.22E+08	1.28E+07	158898.2	1716459	2171340	1627625	889989.2	2409016	583698.3	6445816	151165.9	2213464	1.77E+07	4.99E+08	6.24E+08	260585.1	2.34E+08	45440.79	5415004	1108304	1.35E+08	1.16E+07	788254.3	3961827	321223.9	1909122	6659314	432895.6	13368.78	99950.38	2567178	1248365	2140705	2.42E+07	2.46E+07	1.03E+08	1274189	1970613	1191359	4742924	2.25E+07	3812183	4.73E+07	684219.4	5634127	2663770	320466.3	425843.6	1906414	7.96E+07	2018905	320257.4	1.83E+07	4.90E+07	519550.3	4.15E+08	2.43E+07	3.95E+07	6.30E+07	1.92E+07	9179393	5.43E+07	5354942	140996.9	1539214	996994.4	430860.2	4185.603	3.95E+07	242367.8	2.71E+07	1227674	3.52E+08	2.77E+07	741259.8	2.19E+08	6.30E+07	3708.704	2195808	1.71E+08	6.30E+07	1.74E+08	7.38E+08	3.57E+08	466853.7	381925.7	533349.2	7258979	134028.3	4812086	26975.71	607319.6	1870174	155548.9	1.29E+07	4029224	6501.616	3320638	92161.88	8908635	3.91E+09	234594.1	1350462	1644925	1106276	2.34E+08	1.24E+08	75017.27	1178597	13252.08	1.03E+07	4.45E+08	6453269	8.97E+07	9340268	1327010	40596.36	2027410	3.91E+09	207342.7	3188935	1.24E+08	1248721	506856.4	887269.8	736593.8	2446156	5042413	6628949	6.24E+08	212157	219482.7	3206159	1766878	9179393	3206159	727838.4	31688.42	4587272	1082896	2.96E+07	112016.7	5.53E+07	1.26E+07	1.42E+07	1.24E+08	3529541	6197350	2258557
24H-KNO3-R2	24H	109962.1	7.27E+08	459333.9	634878.6	2.34E+07	1536561	2.37E+07	8.57E+07	2.90E+07	8037059	2.21E+07	7.85E+07	1.63E+07	91399.98	110357.1	81933.32	122260.1	1761573	2.89E+07	2485197	870167.8	4029189	38876.61	1.37E+07	0	7.27E+08	7.22E+08	1037386	3.15E+08	1.14E+07	223672.2	533167.6	1071342	7.85E+07	1638204	2511096	9200.829	6420978	212898.3	2210624	1.41E+07	3.43E+08	6.65E+08	294633.6	1.96E+08	990.8585	3629415	2485197	7.13E+07	1.50E+07	915104.1	3936979	357168.7	2432589	6056357	791643	60603.65	121235.9	2517445	1308986	1076122	1.75E+07	2.30E+07	1.43E+08	1159342	883378.8	1198275	4481923	6.02E+07	8524868	3.48E+07	2466032	5339966	2119174	267280.3	576538.6	1362294	6.31E+07	1234432	2262687	1.85E+07	5.49E+07	674774.5	2.49E+08	2.10E+07	2.78E+07	3.51E+07	8045047	7134664	8.60E+07	5125886	252878.5	158107.1	1219768	492224.4	6458.18	4.03E+07	183436.7	7.94E+07	0	3.77E+07	1.97E+07	96015.29	1.91E+08	3.51E+07	6304.61	5127043	1.25E+08	3.51E+07	2.17E+07	0	3.81E+08	318368.4	281080.8	313168.4	8909794	4495.54	5110906	25252.33	661910.4	1642658	166441.8	1.42E+07	2686711	153550.2	3166992	174983.7	7716181	4.01E+09	2114601	1328395	2030942	902431.4	1.96E+08	6.02E+07	63290.63	1219893	2178647	6851132	2.78E+08	4166830	7.79E+07	8.57E+07	1519342	28254.93	3216377	4.01E+09	124101.2	5228674	1.14E+08	86080.3	516354	791868.6	435771.8	5.02E+07	1.14E+07	7495114	6.65E+08	630553.7	192061.5	4489279	1670836	6813402	260082.8	806202.3	25074.78	4102651	1025611	0	295507.8	5.95E+07	1.38E+07	2.65E+07	1.12E+08	3092107	7917376	2093107
24H-KNO3-R3	24H	104454.9	6.78E+08	393869.8	1221877	9633691	402875.8	3.33E+07	6.33E+07	3.67E+07	8090090	1.13E+07	7.50E+07	1.27E+07	494613.2	80799.63	75576.8	10146.21	1605295	3.67E+07	262857.9	1086872	4433496	1258806	1.78E+07	1.72E+07	6.75E+08	6.78E+08	1135555	2.82E+08	1.13E+07	145990.2	3267266	888479.8	7.50E+07	1577123	120517.1	3211633	8388489	299268.5	2144857	1.27E+07	6.34E+08	6.96E+08	239323	2787190	57025.65	4722526	1603253	6.32E+07	1.13E+07	906028.6	3866630	360647.3	2007395	6843631	951017.1	36226.83	128887.6	2672221	1270773	2262930	1.27E+07	1.88E+07	1.03E+08	691770.4	28839.75	1132875	4950437	5.44E+07	9022816	5.21E+07	489756.6	4974056	1483499	257178.2	964058	1324015	3.84E+07	1196924	3.79E+07	1.98E+07	3.98E+07	524617.3	2.43E+08	3.58E+07	2.99E+07	4.05E+07	7715539	6665698	5462379	4832948	365682.7	164858.3	983891.9	402526	8504.731	4.76E+07	401096	3.02E+07	1160888	3.83E+08	2.30E+07	172995.9	1.92E+08	4.05E+07	3778.023	6491675	1.09E+08	4.04E+07	2.87E+07	8.04E+08	4.26E+08	316689.1	348661.5	339303	1.74E+07	100941.6	4637712	651553.1	581071.8	1641872	170986	1.31E+07	2901104	140373.2	2365015	449778.6	2642324	3.83E+09	1964306	1319091	3701175	1038985	2.01E+08	5.44E+07	58864.45	1199170	2016910	7371031	2.83E+08	1.75E+07	8.46E+07	5131917	1938941	119801	8511907	3.83E+09	163835.3	3398745	3.81E+07	1056179	634634	1131867	488092.8	2145398	9758182	7094389	6.96E+08	787363.6	206415.7	3608661	1857689	6665698	3332400	1.74E+07	50472.6	546185.2	421468.9	2.48E+07	645987.4	5.66E+07	927826.5	1.52E+07	3.81E+07	2809125	1.71E+07	2769489
24H-KNO3-R4	24H	128941.3	8.72E+08	337464.1	344152.4	5890835	1300569	1.39E+07	7.43E+07	1.84E+07	870992.7	2170624	4.68E+07	230855.1	296136.8	49014.36	41438.16	311799.4	888214.9	1.83E+07	1411156	1364207	1723764	1252247	2947702	2140405	8.72E+08	8.58E+08	230512.8	8.06E+07	2058088	109367.2	852481.9	888700.2	4.66E+07	374980.2	4031008	3119518	8343430	380764.4	1686961	7423342	2.79E+08	4.97E+08	246008.2	2635741	541.0222	1970477	1411156	2.70E+07	0	601386.1	1860575	312232.2	3681417	1421041	409233.7	58782.39	151584.5	2175455	626900.8	1006338	6975324	8471890	7.83E+07	392892.8	1027625	241751.1	2761046	2.76E+07	8895813	2.58E+07	1476886	3670414	5725632	50800.82	533063	1002084	1.34E+07	984283.6	942343.4	8849657	2.73E+07	296622.9	3.81E+08	7.89E+07	1.59E+07	1.64E+07	2074212	940113.1	3197687	6295084	211151.4	70470.09	1038474	301760.2	62901.74	3.77E+07	438502.7	2.63E+07	754547.2	2.95E+08	8972580	64124.71	1.10E+08	1.63E+07	2351.452	1.01E+08	3.58E+07	1.64E+07	1.30E+07	1.09E+09	3.60E+08	14788.07	211151.4	432753.5	3590763	128941.3	935349.2	36324.48	1.48E+07	4087735	121692.9	1.19E+07	1746751	51891.69	2193118	163364.5	770062.9	2.87E+09	7684234	708659.4	1274610	1058948	1.33E+08	3239052	254750.3	2012906	1808712	2405909	7070272	2139419	4.94E+07	7.43E+07	2801308	453425.8	1310464	2.87E+09	80375.85	2986874	1.04E+08	94004.07	1029809	15842.61	387448.2	776974.1	9165739	2845637	4.97E+08	35303.18	164312.4	1490420	1.28E+07	2829561	1355290	8.06E+07	90848.4	478898.9	1368230	1.08E+07	5504.768	4.55E+07	2289130	2.23E+07	1.04E+08	1.33E+07	306438.1	1719199
24h-KNO3-R5	24H	138681.4	0	485838	284723.2	6.39E+07	2592658	6497.984	8291192	2.70E+07	902292.6	3.17E+07	7.75E+07	4927762	1067824	1247686	151821	21571.59	1248745	2.70E+07	1468965	1111453	1.26E+07	1556389	1.51E+07	223206	7.01E+08	6.91E+08	5739987	6.03E+08	1.11E+07	7572.663	0	1488466	7.75E+07	15369.93	2929414	3424912	6.02E+07	1162604	1660992	1.88E+07	7.11E+08	7.24E+08	2479.617	2.10E+08	552.8747	4.35E+07	526976.8	2.40E+08	0	888554.2	3904470	401924.6	1819951	6752947	557107.6	33389.98	101823.9	2708537	1239225	3252363	1.36E+07	1.00E+08	1.47E+08	177150.4	476093.7	1294637	4205773	1.26E+08	7404679	1964467	2782333	7066339	2886017	988148.6	483728.1	3800978	5.02E+07	2132925	1882193	6800452	2.86E+07	955169.2	7.11E+08	5.24E+07	2904943	2.80E+07	61414.17	5934175	8119508	6477125	252913.2	294573.8	1470100	467563.4	2316.815	8939207	1283410	6.25E+07	1129162	3.60E+08	5.97E+07	2453339	2.23E+08	2.80E+07	13699.32	6012760	6.59E+07	2.80E+07	8.53E+08	2.57E+08	5.30E+08	322096.8	317300.3	307745.3	1.98E+07	139572.1	0	9288.105	676858.1	1746614	107193.4	1.22E+07	3869397	132683.3	2693939	281621.1	1.38E+07	3.95E+09	1671999	1469089	3991898	975692.6	2.10E+08	0	30740.34	11112.75	2116245	1.25E+07	3.21E+08	1.32E+07	8.35E+07	8291192	960020.3	119530.9	4965812	3.95E+09	45792.8	7935548	1.84E+08	427486.1	247481.5	0	301436	4.45E+07	3081353	5.97E+07	7.24E+08	13190.08	219021.5	3317772	2170372	8145572	3317772	1.99E+07	17256.48	4313458	1269584	0	134483.6	5.70E+07	3624885	2.15E+07	1.84E+08	92550.83	7865439	1289418
24H-UKNO3-R2	24H+U	132320.4	8.15E+08	485759.8	498560.8	1.22E+07	361682.2	3.22E+07	5.66E+07	3.60E+07	1906377	2.25E+07	7.87E+07	532852.4	691019.4	105828.2	79251.05	103468.7	2152331	3.60E+07	427986	925014.1	4576684	1215325	1.87E+07	5610125	8.06E+08	8.16E+08	594017.1	3.39E+08	1.19E+07	274084	1097279	0	7.87E+07	1530207	4507200	3232818	7944226	175667.9	2340689	1.34E+07	6.10E+08	6.55E+08	256698.2	2717423	50679.95	4461309	1180788	8.23E+07	1.50E+07	949409.4	2279686	300539.8	2164728	7576673	844823.3	43117.82	130516.8	3033089	1001303	2547731	2.15E+07	2.19E+07	8.41E+07	969093.6	57544.45	1167927	4736165	5.94E+07	8192585	888071.5	2394496	5674791	2576611	200364.8	699969.5	1491178	5.05E+07	2547731	4.39E+07	1.94E+07	4.20E+07	571898	3.09E+08	3.05E+07	3.73E+07	5.92E+07	9930174	6618499	5.65E+07	5494766	282676.9	1587653	193325.6	432221.5	52747.96	4.80E+07	431375	2.16E+07	1232187	4.11E+08	2.48E+07	81756.39	3.12E+07	5.92E+07	88060.18	5012232	6.55E+08	5.92E+07	2255502	9.55E+08	5.28E+08	318430.6	426850.7	352563.6	1.32E+07	5697.138	4877037	512914.7	469733.7	1576299	166049.3	1.32E+07	3228634	136627.5	3550400	233364.3	3278291	3.88E+09	2098043	1248618	2186394	962781.3	4.46E+07	5.94E+07	77314.38	202474	2056177	8388181	3.13E+08	5610125	8.41E+07	5.65E+07	2082614	95693.05	4570177	3.88E+09	145918.3	3016768	7.14E+07	1219385	686270.5	1081066	47999.62	4.33E+07	8725158	2.52E+07	6.55E+08	745034.5	205931.1	3218565	1816876	8532674	2931340	3.39E+08	61480.5	4253159	833128.4	2.44E+07	804602.5	4.84E+07	1041499	1.18E+07	7.14E+07	0	1.11E+07	2444294
24H-UKNO3-R3	24H+U	108884.5	8.49E+08	239111.5	585148.1	2609173	151221.6	2863939	1.20E+08	2.29E+07	1690704	3318252	3.96E+07	6498947	84223.16	85153.46	21447.64	324432.8	931132.9	2.29E+07	2525445	1171638	528078.1	798463.6	7706276	104580.8	8.49E+08	8.49E+08	181150.6	3.99E+07	1719029	113105.9	1158012	3799600	3.96E+07	499904.3	5430475	2590093	4900058	186906.5	1588412	346126.5	4.73E+08	4.97E+08	220012.7	2.38E+07	49481.57	3313476	2525445	2.63E+07	6693816	511285.7	919635.3	220486.6	3100085	5913715	608208.8	15810.93	119942.7	1030260	444476.8	579948.2	7380946	8568693	7.31E+07	698949.9	934226.4	208297.8	2794871	1.67E+07	5958271	4.23E+07	273895.2	3206202	5640478	51947.55	478429.6	913361.3	6908403	503677	864449.5	8127205	2.41E+07	162357.9	3.46E+08	1.78E+07	2.06E+07	2.46E+07	1655284	696178.9	1.17E+08	4467779	145574.2	49762.92	734231.6	261654.5	73494.89	3.80E+07	233049.9	4.70E+07	903312	2.74E+08	2594171	49341.26	1.33E+07	2.46E+07	97382.98	6.74E+07	7.47E+07	2.43E+07	1.12E+07	1.05E+09	4.35E+08	250247.3	419283.8	437109.6	5569473	108884.5	787239.8	1001419	1.33E+07	4153057	99074.35	6985375	1834439	8193.579	2274469	99920.66	457465.8	2.78E+09	2172736	623603	1622808	977695.8	2.39E+07	5.44E+07	279003.5	0	1545818	2134429	3.58E+08	2624822	5.88E+07	1.20E+08	2750101	390349.8	1444485	2.78E+09	150877.2	1576640	8.19E+07	1121678	961878.4	1666713	671094.2	1275932	6552349	7602695	4.97E+08	40725.52	162891.4	1080985	1.12E+07	2373480	981919.2	2.84E+07	52891.38	552918	669970.8	9427841	96629.44	3.45E+07	2.39E+07	2.18E+07	8.19E+07	1727871	7116432	1452375
24H-UKNO3-R4	24H+U	71260.26	4.60E+08	520167.7	411402.7	2403439	350752.8	6551718	3.71E+07	2.28E+07	1467033	2611913	3.77E+07	6172204	42033.02	66514.75	38798.84	6872.674	842745.9	2.28E+07	264395.8	828853.2	1325015	700224.1	9348097	235209.7	4.60E+08	4.60E+08	1003456	7.64E+07	6023734	120234.5	0	687740.8	3.77E+07	592009.6	4524257	2442556	3563477	138591.8	4051998	6172204	3.89E+08	5.06E+08	304461.6	2.35E+07	1740.018	2151438	1169404	2.95E+07	6723908	479459.3	813363.3	191005.2	3320668	4565743	457511.6	10814.16	103527.2	1593281	373572.5	943862.8	9112633	6273487	6.21E+07	580801.1	1049544	559701.9	2642836	1.10E+07	3009508	2.74E+07	357010.5	2376309	2299795	26351.84	471999.4	926713.7	8064112	464391.7	1190664	8223321	1.80E+07	306893.7	3.37E+08	1.58E+07	1.40E+07	2.02E+07	767851.6	845634.7	4.44E+07	4277820	105375.1	650430.5	1704679	244885.9	73829.13	4.19E+07	634144.9	1.96E+07	718848.9	2.95E+08	8306610	55891.08	1.18E+07	2.02E+07	73637.31	6.06E+07	7.69E+07	2.00E+07	7993676	1.05E+09	4.68E+08	9283.48	349270.5	298865.9	4454037	66856.25	2313973	618866.2	194849.9	1279656	98433.16	5740805	1036444	35796.48	1888028	145380.2	648496.4	2.88E+09	770344.2	500697.1	1230167	761203.4	2.35E+07	4.11E+07	44314.99	12431.63	1448278	2388236	1.57E+07	166228.4	5.13E+07	6.21E+07	2691385	13492.93	1758348	2.88E+09	108451.9	1370784	4.39E+07	986700	821508.3	1190798	15796.67	2.21E+07	3060997	2809503	5.06E+08	365735.9	110722.3	941471.4	986056.4	2348271	941471.4	7.64E+07	71515.8	1802679	865489.6	8705438	100336	3.20E+07	9674698	3.03E+07	4.39E+07	158932.5	5888037	208289.4
24H-UKNO3-R5	24H+U	80311.03	0	17325.54	643859.5	400354.9	115578.2	4972.49	4734773	5228780	276628.8	17928.21	673361.6	116421.8	112280.4	1043.911	41855.54	80714.12	39859.13	5228780	5716.32	962.4948	2392864	926628.1	0	74409.74	0	0	3566785	0	9421898	27853.26	0	788143.6	673361.6	33769.02	649799.9	2708803	45096.86	86474.2	5371115	4541648	62557.27	7.86E+08	267823.8	1577465	10552.37	4303914	14260.2	9955485	24574.98	163284.6	32611.35	95526.14	24882.61	8595.046	3109.805	1728.251	2979.804	2771.3	9384.119	39046.4	1.47E+07	838820.1	1.63E+08	445598.8	0	9643.43	953408.4	7.87E+07	6414598	3763370	210675.9	4396518	518779.9	11346.61	1752872	837285.4	964406.6	31127.58	3345425	2.26E+07	143739.3	122977.7	5.90E+07	0	1793964	805572.9	2123.133	4945017	1119069	4741035	12848.31	926230.7	718266.9	259858.6	62948.03	2322932	96815.31	5.12E+07	43564.57	784962.3	223816.4	23006.45	84828.47	805960.8	8211.218	321863.4	7.87E+08	805960.8	416386.8	2828471	4.70E+07	217362.2	103935.5	567501.6	7002732	80311.03	3822857	147.2356	284416.6	1714479	125943.2	5254496	1589314	3208.353	1477.735	327817.2	15956.67	561284.4	3109722	142208.8	13950.78	17707.48	912181.9	7.87E+07	13427.39	254875.2	1699752	30662.71	1.88E+07	84095.33	3331576	4734773	3060532	38784.58	2123945	561284.4	74445.38	1255163	5762377	715015.7	804610.8	857663.1	7573.489	57273.02	3249.031	100283.3	7.86E+08	9660.379	153763.1	1431936	1250734	4208876	8133.247	2.79E+07	62948.03	100707.3	527987.1	16581.88	96046.43	84046.24	1.38E+07	4895702	4.45E+07	687463.9	409234.8	1628199
